Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date,keywords,speakers names,event type,Summary Short,Year,Summary Full,Audio Clip pdf,Audio Clip Description Short,Audio Clip Description Long,Audio clip runtime,Audio Clip Download,Audio Clip URL transcript player,Audio Full Description Short,Audio Full Description Long,Audio Full Download,Audio Full PDF,Audio full runtime,Audio Full URL transcript player,Audio Clip02 pdf,Audio Clip 02 Description,Audio Clip 02,Audio Clip 02 URL,Thumbnail,speaker 1 image,Speaker 1,speaker 1 role,speaker 2 image,speaker 2,speaker 2 role,speaker 3 image,speaker 3,speaker 3 role,speaker 4 image,speaker 4,speaker 4 role,speaker 5 image,speaker 5,speaker 5 role,num order,num total,clip full,Album Name,Track Order Breadcrumbs,Album Name Display,icon,icons code
2022-03-09 C00 JZ LG Zoom,2022-03-09-c00-jz-lg-zoom,65f3d093a0ca2d5ac211618a,6641397db93151555ec7918f,Sun May 12 2024 21:49:49 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:49 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",26m 23s,https://showboatblastoff.github.io/zdata/030922-00.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/6641397db93151555ec79172_xr24zXoiY3O4aCCe3OHNafE4TW5hZ8yY0JC6Fc3m27M.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,0,8,full,,Full Tr.,LG & wife tell JZ no more sales,,
2022-03-09 C01 JZ LG Zoom,2022-03-09-c01-jz-lg-zoom,65f3d093a0ca2d5ac211618a,6641397e5344d92f5684cc3e,Sun May 12 2024 21:49:50 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:50 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",4m 04s,https://showboatblastoff.github.io/zdata/030922-01.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/6641397e5344d92f5684cc2f_JrHlU4AEhb9x5K7N0sd4o3yWzos7evGgTBKusn1ZSpY.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,1,8,clip,,Clip 1,LG & wife tell JZ no more sales,,
2022-03-09 C02 JZ LG Zoom,2022-03-09-c02-jz-lg-zoom,65f3d093a0ca2d5ac211618a,6641397f771fe90f01faf76c,Sun May 12 2024 21:49:51 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:51 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",3m 03s,https://showboatblastoff.github.io/zdata/030922-02.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/6641397f771fe90f01faf75d_MubIlP-J2zcIBJN3JikJeeXWsUK8ZWUyIVtaAuq8qvg.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,2,8,clip,,Clip 2,LG & wife tell JZ no more sales,,
2022-03-09 C03 JZ LG Zoom,2022-03-09-c03-jz-lg-zoom,65f3d093a0ca2d5ac211618a,6641398074e1faa0540d8b63,Sun May 12 2024 21:49:52 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:52 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",2m 48s,https://showboatblastoff.github.io/zdata/030922-03.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/6641398074e1faa0540d8b30_vfumcpSTWYuqJOFewSlTQ_9BBpg3qACLhHRk6k3hUDU.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,3,8,clip,,Clip 3,LG & wife tell JZ no more sales,,
2022-03-09 C04 JZ LG Zoom,2022-03-09-c04-jz-lg-zoom,65f3d093a0ca2d5ac211618a,664139835344d92f5684d1bb,Sun May 12 2024 21:49:55 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:55 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",1m 58s,https://showboatblastoff.github.io/zdata/030922-04.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664139815344d92f5684cf8c_UYVnfL1fwAFkpg3XNv56Agn2uxgCJjsWS_6Aw1jga_k.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,4,8,clip,,Clip 4,LG & wife tell JZ no more sales,,
2022-03-09 C05 JZ LG Zoom,2022-03-09-c05-jz-lg-zoom,65f3d093a0ca2d5ac211618a,66413985eca1ddeb658f0a93,Sun May 12 2024 21:49:57 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:57 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",1m 44s,https://showboatblastoff.github.io/zdata/030922-05.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/66413984eca1ddeb658f0a7d_a2FTGtAV5vCdS7oLyWYMHLlBpH_YHzqqWnq8QxWegYs.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,5,8,clip,,Clip 5,LG & wife tell JZ no more sales,,
2022-03-09 C06 JZ LG Zoom,2022-03-09-c06-jz-lg-zoom,65f3d093a0ca2d5ac211618a,66413986f41a2c0f0326d16d,Sun May 12 2024 21:49:58 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:58 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",7m 01s,https://showboatblastoff.github.io/zdata/030922-06.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/66413985f41a2c0f0326d044_4HXizY7pnv3oCWGBIDB_yuGrie1NsvrE7_WCZE9zt3s.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,6,8,clip,,Clip 6,LG & wife tell JZ no more sales,,
2022-03-09 C07 JZ LG Zoom,2022-03-09-c07-jz-lg-zoom,65f3d093a0ca2d5ac211618a,66413987f41a2c0f0326d284,Sun May 12 2024 21:49:59 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:49:59 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Mar 03 2022 06:00:00 GMT+0000 (Coordinated Universal Time),suzanne; intent,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,JZ ask about the job posting LG claimed he made weeks prior...,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",4m 57s,https://showboatblastoff.github.io/zdata/030922-07.mp3,https://showboatblastoff.github.io/zdata/2022-03-09_transcript.html,"JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ","JZ ask about the job posting LG claimed he made weeks prior, after production devolves into total chaos as LG and SG remove sales positions to concentrate on a documented price fixing mission. LG says he has other options and will not put any effort into RBC. ",https://drive.google.com/open?id=1dnbNFujC4Cote8SoxYj5vWq2RtSJoYAN&usp=drive_fs,https://drive.google.com/open?id=1eG8UouCIuj03jmhvHmc68udyOdjbu3e7&usp=drive_fs,26m 23s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/66413987f41a2c0f0326d25d_V9jxn2de-9dfahUlPohA-VkVpDlyfvaxFLig0DD1ZJc.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,7,8,clip,,Clip 7,LG & wife tell JZ no more sales,,
2022-11-15 LG admits 30K scam and amazon,2022-11-15-lg-admits-30k-scam-and-amazon,65f3d093a0ca2d5ac211618a,6641398850e175b325bdb65d,Sun May 12 2024 21:50:00 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:50:00 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Tue Nov 15 2022 06:00:00 GMT+0000 (Coordinated Universal Time),30k; amazon; tx; suzanne,Joseph Zangrilli & Lucas Guariglia,LG to JZ call,,,,,JZ finds evidence of Lucas & Suzanne running a live activation...,"JZ finds evidence of Lucas & Suzanne running a live activation for RBC Customer Constellation Brands. LG admits to selling 30K of RBC purchased goods to RBC customer Mosaic, $15K of personal Amazon purchases, and acknowledges he knows the Texas story is false (JZ found email directly from hotel mgmt confirming there was no TX incident).",1h 33m 31s,,https://showboatblastoff.github.io/zdata/2022-11-15_transcript.html,"LG admits Amazon, 30K, event, TX","LG admits Amazon, 30K, event, TX",,,1h 33m 31s,https://showboatblastoff.github.io/zdata/,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/6641398850e175b325bdb63e_gH41gsdbjJrEi2uPiXvj9550w479-oYrLGIGh31KHQI.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,,,,,,,,,,0,0,full,,Full Tr.,Suzanne & LG 30k fraud admission +,,
2023-02-14 C00 FT Accounting Meeting,2023-02-14-c00-ft-accounting-meeting,65f3d093a0ca2d5ac211618a,664139a9800866ff4ca0140a,Sun May 12 2024 21:50:33 GMT+0000 (Coordinated Universal Time),Sun May 12 2024 21:50:33 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Tue Feb 14 2023 06:00:00 GMT+0000 (Coordinated Universal Time),accounting; 53; chase; fiduciary,"Joseph Zangrilli, Lucas Guariglia, & Stephanie Morin",Accounting meeting,,,,https://drive.google.com/open?id=1kh5Q-oJ_CCDhiAkdKgRvepSTE4WGlmZR&usp=drive_fs,First acct mtg since 5/3 account closure,The first accounting meeting since 5/3 account closure on 2023-02-09. LG tells RBC accountant Stephanie that 5/3 account was closed for fraud and Chase account closed due to longtime RBC client INKT (Tom Labadie) payment via Chase Quickpay flagged for fraud.‍‍,59m 34s,https://drive.google.com/open?id=1ktL_sr1xjRzaW7t3HNgj48tdbJI_y8x1&usp=drive_fs,https://showboatblastoff.github.io/zdata/2023-02-14_transcript_spark.html,1st acct mtg after 5/3 closure LG says fraud,1st acct mtg after 5/3 closure LG says fraud,https://drive.google.com/open?id=1kjZlB2lcExoE9lnHNDyckxNrFkmcaAN2&usp=drive_fs,https://drive.google.com/open?id=1kh5Q-oJ_CCDhiAkdKgRvepSTE4WGlmZR&usp=drive_fs,59m 34s,https://showboatblastoff.github.io/zdata/2023-02-14_transcript_spark.html,,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664139a8800866ff4ca013c6_QNiWhHTF1AVmZ5Erkx07UgLxXh3M5yzkLF_pQLtSF9Q.jpeg,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac2_bR_GePxzBtM3W-cv4jrjuh3VajtJKkDbQdcANGQBGGM.png,Joseph Zangrilli,COO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664136432b983b6bd9d27ac7_fGX4Gm7pgFT7DnLB7cENdqb7hfHqXhRlTZ__E1AMsv8.png,Lucas Guariglia,CEO @ RBC,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/664139a8800866ff4ca013c2_3czZBggq6ZQP5JRm7QQFVMhY8tkik2cWCXzicXhRQf4.png,Stephanie Morin,accountant @ spark,,,,,,,0,0,full,2023-02-14 Accounting Meeting,Full Tr.,5/3 & Chase closed for fraud,,
