Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,description,color,filter feature
100%,100,66004e32e3b61b1d72c6fc44,661d8a766f339fa314ee44d6,Mon Apr 15 2024 20:13:42 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#d3392f,false
2642 N Hamlin,2642-n-hamlin,66004e32e3b61b1d72c6fc44,661a1882fffa7de60b7028b4,Sat Apr 13 2024 05:30:42 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:27 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#b76ba4,false
30k,30k,66004e32e3b61b1d72c6fc44,661a1880d467070de918a4c7,Sat Apr 13 2024 05:30:40 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:25 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#0ae995,false
4200 W Diversey,4200-w-diversey,66004e32e3b61b1d72c6fc44,661a1883d283efbe0205ab1f,Sat Apr 13 2024 05:30:43 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:27 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#1ac428,false
4k-agree,4k-agree,66004e32e3b61b1d72c6fc44,661a187fd283efbe0205a494,Sat Apr 13 2024 05:30:39 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:25 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#9e742e,false
50-50,50-50,66004e32e3b61b1d72c6fc44,661cb30d05c900f7a61fc22c,Mon Apr 15 2024 04:54:37 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:29 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#7d4f2d,true
53,53,66004e32e3b61b1d72c6fc44,661a1881b2ece8a04f33bba6,Sat Apr 13 2024 05:30:41 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:26 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#e81abe,true
abandoned,abandoned,66004e32e3b61b1d72c6fc44,663964918b12d25d86a16bba,Mon May 06 2024 23:15:29 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:46 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,,true
abandonment,abandonment,66004e32e3b61b1d72c6fc44,661a1883e65a5580ebe2f973,Sat Apr 13 2024 05:30:43 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:27 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#15dc6b,false
accountability,accountability,66004e32e3b61b1d72c6fc44,661ca7d67b1411f268cb4cb9,Mon Apr 15 2024 04:06:46 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:32 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#bd40f6,true
accounting,accounting,66004e32e3b61b1d72c6fc44,661a188435c191d7c95a0666,Sat Apr 13 2024 05:30:44 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:28 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#da3288,true
acct-weapon,acct-weapon,66004e32e3b61b1d72c6fc44,661a188500ab018dd3551682,Sat Apr 13 2024 05:30:45 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:28 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#dee42c,false
admits,admits,66004e32e3b61b1d72c6fc44,661ca10205c900f7a6105344,Mon Apr 15 2024 03:37:38 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:40 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#935630,true
after-2642,after-2642,66004e32e3b61b1d72c6fc44,661cd4de71e6e964192b7d63,Mon Apr 15 2024 07:18:54 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:22 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#ff6ee2,false
all-lg,all-lg,66004e32e3b61b1d72c6fc44,661ca41ef83bb22e1a8b23fa,Mon Apr 15 2024 03:50:54 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:36 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#dc2a2c,false
amazon,amazon,66004e32e3b61b1d72c6fc44,661a188600ab018dd3551897,Sat Apr 13 2024 05:30:46 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:29 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#44a26e,true
ar,ar,66004e32e3b61b1d72c6fc44,663039093f904d580c64b22d,Tue Apr 30 2024 00:19:21 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:32:43 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#ea28ca,true
at&t,atandt,66004e32e3b61b1d72c6fc44,661a188735342e106149c4a1,Sat Apr 13 2024 05:30:47 GMT+0000 (Coordinated Universal Time),Fri May 17 2024 05:31:29 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),,#fae583,true
