Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,description,color,filter feature,email-filters,airtable record id
100%,100,6685967fcd31f6c9059bb26c,670fee91faf04572d1730fbe,Wed Oct 16 2024 16:49:20 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 16:49:20 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 17:07:54 GMT+0000 (Coordinated Universal Time),,#d3392f,no,,recKw5XmXyhGNt5wy
100%,100percent,6685967fcd31f6c9059bb26c,668597dbeef83adcf0446978,Wed Jul 03 2024 18:26:35 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:58 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:58 GMT+0000 (Coordinated Universal Time),,#d3392f,no,,
2642 N Hamlin,2642-n-hamlin,6685967fcd31f6c9059bb26c,668597dc83af0f5556a5b85c,Wed Jul 03 2024 18:26:36 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:58 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:58 GMT+0000 (Coordinated Universal Time),,#b76ba4,no,,
2642 N Hamlin,2642-n-hamlin-ecf48,6685967fcd31f6c9059bb26c,670fee93c723328fe4cae9a8,Wed Oct 16 2024 16:49:23 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 16:49:23 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 17:07:54 GMT+0000 (Coordinated Universal Time),,#b76ba4,no,,recEWKOiH7mEBTlWd
30k,30k,6685967fcd31f6c9059bb26c,668597d583af0f5556a5b6fe,Wed Jul 03 2024 18:26:29 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:56 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:56 GMT+0000 (Coordinated Universal Time),,#0ae995,no,,
30k,30k-61046,6685967fcd31f6c9059bb26c,670fee8837d20a0583a1c2d8,Wed Oct 16 2024 16:49:12 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 16:49:12 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 17:07:54 GMT+0000 (Coordinated Universal Time),,#0ae995,no,,recNLw89lKHFISPAS
4200 W Diversey,4200-w-diversey,6685967fcd31f6c9059bb26c,668597de44d2938f58ea219d,Wed Jul 03 2024 18:26:38 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:59 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:59 GMT+0000 (Coordinated Universal Time),,#1ac428,no,,
4200 W Diversey,4200-w-diversey-68946,6685967fcd31f6c9059bb26c,670fee95df41fa29bd52de62,Wed Oct 16 2024 16:49:25 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 16:49:25 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 17:07:54 GMT+0000 (Coordinated Universal Time),,#1ac428,no,,recbVjQNwzfaqksZM
4k-agree,4k-agree,6685967fcd31f6c9059bb26c,668597d406f478a8c2c48d1b,Wed Jul 03 2024 18:26:28 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:53 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:53 GMT+0000 (Coordinated Universal Time),,#9e742e,no,,
4k-agree,4k-agree-de6c1,6685967fcd31f6c9059bb26c,670fee866221efd70cb824cf,Wed Oct 16 2024 16:49:10 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 16:49:10 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2024 17:07:54 GMT+0000 (Coordinated Universal Time),,#9e742e,no,,recn5XJocbVJROKZ7
50-50,50-50,6685967fcd31f6c9059bb26c,668597d676c9d5e87396e3c8,Wed Jul 03 2024 18:26:30 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:57 GMT+0000 (Coordinated Universal Time),Thu Jul 18 2024 03:38:57 GMT+0000 (Coordinated Universal Time),,#7d4f2d,no,,
