Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Photo,Hex Code,Media URL,transcript pdf,desciption text,name display,notes,date,event,running time,full or clip,iframesrc,yturl,Airtable Record ID
V2-100,v2-100-8083a,668f12be911289d9b4fc38fd,67175d3605bb5c43a243fc2b,Tue Oct 22 2024 08:07:18 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:18 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f3129e55ed14342b2fd_jmD6EAK22D1ixjDFm4LgmsMHNZXcaKGf9ZtmhKEapcU.webp,,https://www.youtube.com/embed/_ncV8Rrd1S4?si=RKCi1e6VZmH22TOp,,Surprise! A Wedding Engagement at a Screen Printing Shop?! - Ep. 20,This is the real Rowboat Creative,This is the real Rowboat Creative. JZ mods a handjet out to help Stephen Farag of Campus Ink with a surprise engagement party. Stephen comes to JZ to utilize the modified handjet to dazzle his girlfriend with JZ creations.,Sat Jul 27 2019 19:33:00 GMT+0000 (Coordinated Universal Time),Wedding Proposal at Rowboat Creative,18m 49s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_ncV8Rrd1S4?si=RKCi1e6VZmH22TOp"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recwsXw9Yafa6FjNp
V2-101,v2-101-fb734,668f12be911289d9b4fc38fd,67175d381a52862cf8b26cec,Tue Oct 22 2024 08:07:20 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:20 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f31064053292d58b94f_pjWy8XUnDfwspBpenlzzwdmwGdP0JD3ocv1MaCSF0cA.webp,,https://www.youtube.com/embed/7VK-Z_BJ0po?si=ySn3eo9GzDZNBBvb,,FESTY LIFE | Episode 2,Paige and Ryne always love working with RBC,"LG calls himself President, despite JZ's obvious issue with the self appointment",Sat Jul 28 2018 19:39:00 GMT+0000 (Coordinated Universal Time),Youtube video series visits JZ and LG at RBC,9m 32s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7VK-Z_BJ0po?si=ySn3eo9GzDZNBBvb"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recOFL9rdXMGT0vio
V2-102,v2-102-b4806,668f12be911289d9b4fc38fd,67175d3cb2d462f5f12a630d,Tue Oct 22 2024 08:07:24 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:24 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f3329e55ed14342b33b_aMSrlhnO60BthAnQUPAw7cZt4aR7dKHT2xAbBplPIZE.webp,,https://www.youtube.com/embed/F6vcQ9rY5jc?si=oshO7UuRxnwk285o,,Havas X Rowboat Creative Live Branding Activation,Havas X Rowboat Creative,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),Havas live branding activation,1m 22s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/F6vcQ9rY5jc?si=oshO7UuRxnwk285o"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recp5qk39yNYXTnFn
V2-103,v2-103-6c34b,668f12be911289d9b4fc38fd,67175d3fa7ecabce4a4162e2,Tue Oct 22 2024 08:07:27 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:27 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f3331cdaaec932513bd_6Zy5kYI-sSf-BA7My3Bfr0U4DHzExsLvo4QON2wwi5k.webp,,https://www.youtube.com/embed/Mne5ozDGeS0?si=r1pB-koQSfhpFI_x,,Nike X Rowboat Creative Live Branding Activation,Nike X Rowboat Creative Live Branding Activation,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),Nike live branding activation,1m 18s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Mne5ozDGeS0?si=r1pB-koQSfhpFI_x"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,rec1dXwPBiVSRlSvM
V2-104,v2-104-3c864,668f12be911289d9b4fc38fd,67175d411a52862cf8b274fb,Tue Oct 22 2024 08:07:29 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:29 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f340c0dc0e91b1ca1d7_vbYPLbcv8OUv2gHWOSFjCZbSF9919SfayZnkAUb-Nsg.webp,,https://www.youtube.com/embed/NHN9pnhk__8?si=Ne_MUHDoN1YkCfol,,Adidas X Rowboat Creative Live Branding Activation,Adidas X Rowboat Creative Live Branding Activation,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),Adidas live branding activation,1m 12s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NHN9pnhk__8?si=Ne_MUHDoN1YkCfol"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,rec6PU1kAkXT94a3E
V2-105,v2-105-6433a,668f12be911289d9b4fc38fd,67175d44a7ecabce4a416851,Tue Oct 22 2024 08:07:32 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:32 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f35e1b56cbae48ceca7_Zy_B5jBJ9uZmPhn28dQ7tFqdtKFobqmMxqoSF489la4.webp,,https://www.youtube.com/embed/HdJhAMyFFj0?si=Kc39gO9eWgylD3xI,,PAWS X Rowboat Creative Live Branding Activation,PAWS X Rowboat Creative Live Branding Activation,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),PAWS live branding activation,1m 15s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HdJhAMyFFj0?si=Kc39gO9eWgylD3xI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recpMeR58RZRTMuTL
V2-106,v2-106-03217,668f12be911289d9b4fc38fd,67175d472b2bd1b3d92f59f5,Tue Oct 22 2024 08:07:35 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:35 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f37a77aa082d406443e_s5BHdMJzar77OrYuoJgK_yUz3QnCCcNMNylE27v6DP8.webp,,https://www.youtube.com/embed/oJY10XpvUUw?si=0WStQgBYlLe2Sr_H,,Around Rowboat Creative,Around Rowboat Creative,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),Shop info,2m 05s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/oJY10XpvUUw?si=0WStQgBYlLe2Sr_H"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recK2xCYlkNHP4r3l
V2-107,v2-107-11e73,668f12be911289d9b4fc38fd,67175d4accdddd78f6bfa3f0,Tue Oct 22 2024 08:07:38 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:38 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f38ed9e1473433e6f92_bblP1uMVjWf7r-YHeDssJ4d6uj9weaJTJ2r5UHxDNbE.webp,,https://www.youtube.com/embed/jCjwmTPzqTc?si=huWsI_MkBupFIBlN,,At&t Day with Joefreshgoods X Rowboat Creative,At&t Day with Joefreshgoods X Rowboat Creative,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),At&t Day with Joefreshgoods X Rowboat Creative,3m 10s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jCjwmTPzqTc?si=huWsI_MkBupFIBlN"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recHkhLAOcaiSyly8
V2-108,v2-108-65ffe,668f12be911289d9b4fc38fd,67175d4eccdddd78f6bfa7a1,Tue Oct 22 2024 08:07:42 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:42 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f39865a13266b89db51_xM_ZrnL1fo60MZajAh0yX2YzVQnD6vPGatpwqng9W-M.webp,,https://www.youtube.com/embed/acLVxqshxTI?si=cPX9T1lfl-RgIepa,,WGN Around Town X Rowboat Creative,WGN Around Town X Rowboat Creative Second trip,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),RBC on WGN again,0m 48s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/acLVxqshxTI?si=cPX9T1lfl-RgIepa"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,rec0jMgcLzDDJKDIo
V2-109,v2-109-fa4d5,668f12be911289d9b4fc38fd,67175d5294358a19460c911e,Tue Oct 22 2024 08:07:46 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 08:07:46 GMT+0000 (Coordinated Universal Time),Thu Oct 24 2024 00:05:36 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/646a27a54df1a31225a90bae/668f1f3ae6bc0b7dc396c8c9_CVcw08llRM6bYayTOJ392ZDMeoV3qIA4G9UPZbHAFP4.webp,,https://www.youtube.com/embed/kmBHw8yFsNw?si=kkKpDnWG-rnxNkI5,,Adidas X Rowboat Creative Live Branding,Adidas X Rowboat Creative Live Branding,,Fri Mar 22 2019 20:58:00 GMT+0000 (Coordinated Universal Time),Adidas live branding activation,0m 56s,Full,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kmBHw8yFsNw?si=kkKpDnWG-rnxNkI5"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,recp60xrYXrO63qlH
