Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date,Preview Text,Type,transcript pdf url,Full download 1,Full download 2,Preview image 1,Preview image 2,Text Preview url,Full PDF URL,transcript w audio url starts at zero,audio preview url,Multi Image,Full Audio Download url
0215 LG instagram management,0215-lg-instagram-management,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac211626e,Mon May 22 2023 18:56:32 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Wed Feb 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,audio,https://drive.google.com/file/d/1C3mLZls_paDgjT2kW_ESyl3WdPRGb1Jb/view?usp=share_link,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646be809fd3f777fe5299e0c_021523%20FULL%20LG%20to%20JZ%20partnership%20renegotiation.pdf,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2691312b602a87104ee0_021523%20PREVIEW%20LG%20Instagram%20account%20management.png,,https://drive.google.com/file/d/1kLko8yHTc3dgcCuqU_GX-1RpisEuzJBk/view,,https://app.notta.ai/share/911bc91a-6c8a-4856-9ac5-0eb7b535df9c,https://drive.google.com/file/d/1bMKgCMwQKjC3T6IUi3sWtYRzBbp_Sguh,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd51004fd2c9a1c7cfe_IMG_2225.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd53bef2305e96b326e_IMG_2226.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd58f568f2f44fc44c0_IMG_2227.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd43bef2305e96b3255_IMG_2228.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd483ec80f1184ac577_IMG_2229.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4f46b2a0322e497c9_IMG_2230.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4de912502ea0bb93f_IMG_2231.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd48b5b34e85e353b19_IMG_2232.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd445c44fcb4472a9b1_IMG_2233.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4a6c08ba6ad390f31_IMG_2234.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd409f5cbd537639202_IMG_2235.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4995631a19e9cbd8e_IMG_2236.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4709910928d5359d5_IMG_2237.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4c1ee63426e7b9e3e_IMG_2238.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd4b182341688b21a33_IMG_2239.jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c2cd43c949b9e42b0916e_IMG_2240.jpeg,
2022-03-09 LG has dismantled sales will only work with wife SG says does not want RBC anymore,2022-03-09-lg-has-dismantled-sales,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac21162d7,Mon Feb 12 2024 17:20:31 GMT+0000 (Coordinated Universal Time),Mon Feb 12 2024 17:20:31 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Wed Mar 09 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2022-03-09 LG has dismantled sales will only work with wife SG says does not want RBC anymore,Transcript with audio,,,,,,,,,,,
53 Rep puts Stop Payment on final lost check (wasnt supposed to be a check),53-rep-puts-stop-payment-on-final-lost-check-wasnt-supposed-to-be-a-check,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac211622c,Mon May 22 2023 18:56:27 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:06 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Nov 10 2022 00:00:00 GMT+0000 (Coordinated Universal Time),,pdf,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646e2db5f6f1ed2db692337f_111022%20Stop%20payment%20made%20on%20lost%20check.png,,https://drive.google.com/file/d/16yiEIyNABscmXF4wKSoTr0KT9HaUWNm2/view?usp=share_link,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da23634d2555dddb9e5a8_PNG%20image.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da244cc9b83dfe4f82c3d_110122%20PREVIEW%20JZ%20gets%20extension%20granted%20due%20to%20acct%20transfer%20delay.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da2442c037b5778b679c7_IMG_0810%20(1).jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c1ca490bae83a18968e2a_020923%20PREVIEW%20JZ%20to%2053%20rep%20Al.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646e2db5f6f1ed2db692337f_111022%20Stop%20payment%20made%20on%20lost%20check.png,
53 replaces lost check,53-replaces-lost-check,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac2116243,Mon May 22 2023 18:56:27 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:06 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Thu Nov 10 2022 00:00:00 GMT+0000 (Coordinated Universal Time),,pdf,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da2442c037b5778b679c7_IMG_0810%20(1).jpeg,,https://drive.google.com/file/d/17ftcptoGXgX0vp6Xs5MLcfz-4vcOPx_A/view?usp=share_link,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da23634d2555dddb9e5a8_PNG%20image.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da244cc9b83dfe4f82c3d_110122%20PREVIEW%20JZ%20gets%20extension%20granted%20due%20to%20acct%20transfer%20delay.jpg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646da2442c037b5778b679c7_IMG_0810%20(1).jpeg; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646c1ca490bae83a18968e2a_020923%20PREVIEW%20JZ%20to%2053%20rep%20Al.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646e2db5f6f1ed2db692337f_111022%20Stop%20payment%20made%20on%20lost%20check.png,
"631548 LG Goose Island parking money $14,938.89",631548-lg-goose-island-parking-money-14-938-89,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac21161cb,Mon May 22 2023 18:56:25 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 21:31:21 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Fri Dec 04 2020 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,,,,https://drive.google.com/file/d/171m_CACFAiGDdlVp6cMb8Bv1kTuYwXFy/view?usp=share_link,,,,,
"700775 LG Goose Island parking money $28,279.13",700775-lg-goose-island-parking-money-28-279-13,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac2116258,Mon May 22 2023 18:56:30 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Sun Jan 08 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,text,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646d0f583b30b1f5a50b910d_700775%20goose%20island%20parking%20money%2029k%20(1).pdf,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646d0fe5b24ee8c5a940665a_010823%20LG%20Goose%20Island%20parking%20money%20inv%20700775.png,,https://drive.google.com/file/d/17MTKAG4fuEKV9Rg6qmgDHlOxB4uWemLt/view?usp=share_link,,,,,
8 RBC bank accounts at 5/3 no JZ,8-rbc-bank-accounts-at-5-3-no-jz,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac21162d5,Mon May 22 2023 18:56:37 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Wed May 03 2023 00:00:00 GMT+0000 (Coordinated Universal Time),8 RBC bank accounts at 5/3 no JZ,other,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/646bbcb170c30c3d7aab5da6_8%20RBC%20bank%20accounts%20without%20JZ%20name%20on%20it.png,,https://drive.google.com/file/d/17R1lfSHmb298mOZbL6Ebxrcnl4nmDx-0/view?usp=share_link,,,,,
Accountant says JZ data work important to drill into issue,accountant-says-jz-data-work-important-to-drill-into-issue,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac21162c3,Mon May 22 2023 18:56:36 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Tue Apr 11 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,audio,https://drive.google.com/file/d/18_8x6Fh5ktzGSoEpkkwRfSicCnhS0kZf/view?usp=share_link,,,,,https://drive.google.com/file/d/1_l9AJG6ltuEfz2Wil-KmMk43LUYzEx09/view?usp=share_link,,https://app.notta.ai/share/470c83a4-57c4-4ac6-a900-9ec8ebc97a2a,https://drive.google.com/file/d/1a0tYeign0AHtPg65rpys639FtRQVy5cm,,
Accountant sends email about Sales shortfall of 115K over 5 week span,accountant-sends-email-about-sales-shortfall-of-115k-over-5-week-span,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac21161c8,Mon May 22 2023 18:56:25 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 21:31:22 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Fri Jan 25 2019 00:00:00 GMT+0000 (Coordinated Universal Time),,📊,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/64750a4d3159c47544e6d7b1_120218%20Accounting%20sends%20email%20Salescash%20shortfall%20115k%20suggests%20weekly%20sales%20goal%2055K.pdf,,,,https://drive.google.com/file/d/161KltwTaoeHHkfR7XtxYq5UKhTksE-0_/view?usp=share_link,,,,https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/64750ad761ce88c04fc3c0b6_012519%20Accounting%20email%20stating%20no%20sales%20goals%20not%20sustainable%2001.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/64750ad768e944ad73641353_012519%20Accounting%20email%20stating%20no%20sales%20goals%20not%20sustainable%2002.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/64750ad7b7a80d77ae41e7fc_012519%20Accounting%20email%20stating%20no%20sales%20goals%20not%20sustainable%2003.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/647509a6b7016b57bf8af5dc_120218%20Accounting%20sends%20email%20stating%20115K%20shortfall%20suggests%20weekly%20sales%20goals%2055k.png; https://uploads-ssl.webflow.com/646a27a54df1a31225a90bae/647509dc38a4e6235174f3dc_2019%20sales%20goals.png,
Accounting responds to JZ missing point,accounting-responds-to-jz-missing-point,65f3d093a0ca2d5ac2116165,65f3d093a0ca2d5ac21162b8,Mon May 22 2023 18:56:35 GMT+0000 (Coordinated Universal Time),Mon May 29 2023 23:10:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,email,,,,,,https://drive.google.com/file/d/1B2UdaadmJtkdDlR6TVJ458saM0tfgvml/view?usp=share_link,,,,,
